weeks,main_thrust,subbrands,competitor1,competitor2,awareness
08/06/2015,481.7518196,254.5496147,15.88565484,668.2286137,68.11259905
15/06/2015,472.1749346,298.3503276,13.97937626,685.6078467,68.54116937
22/06/2015,555.7072758,335.7416216,12.30185111,781.9782385,67.92114047
29/06/2015,603.6224027,374.4592937,10.82562898,896.6375165,68.62304867
06/07/2015,590.284381,400.3241784,9.526553499,927.1876812,68.55193922
13/07/2015,586.846922,392.6186103,8.383367079,987.9584928,67.98592998
20/07/2015,586.4186247,398.7910438,7.377363029,967.5034737,67.60343152
27/07/2015,569.2350564,394.1827852,6.492079466,1062.844057,67.42641413
03/08/2015,549.3335163,382.3541843,24.81002993,1148.49277,67.27011023
10/08/2015,541.9534943,379.9250155,62.38515967,1189.668304,66.78832618
17/08/2015,525.7957417,376.7206803,97.87227384,1194.991441,66.48741814
24/08/2015,510.0202527,381.9208654,129.0609343,1235.688802,66.32804484
31/08/2015,494.504489,336.0903615,164.5336222,1198.459479,64.32595904
07/09/2015,435.1639503,295.7595181,293.6259209,1154.271008,64.49662218
14/09/2015,401.4776096,260.268376,339.5648104,1123.71182,65.0396055
21/09/2015,481.4536298,229.0361708,447.6036998,1138.386069,65.75536596
28/09/2015,560.1158609,201.5518303,446.3079225,1023.85974,66.83864596
05/10/2015,608.1152909,177.3656107,527.0999718,940.5232381,66.35585296
12/10/2015,653.0847893,156.0817374,591.3449752,827.6604496,66.7413313
19/10/2015,660.277948,137.3519289,677.0079115,728.3411956,67.50772218
26/10/2015,632.6679275,120.8696975,639.8056288,655.9125855,67.44261473
02/11/2015,690.6644429,111.2186671,667.8739533,640.0564085,67.13955185
09/11/2015,740.8947097,97.87242704,694.9394122,625.2696395,67.04341377
16/11/2015,767.4806779,86.1277358,712.2086828,620.4489494,67.29544674
23/11/2015,819.6196632,75.7924075,664.3659742,665.6077422,67.25426233
30/11/2015,840.6753036,66.6973186,665.8673906,712.5578131,67.57410095
07/12/2015,877.2576005,58.69364037,720.0396371,740.0972089,67.26672287
14/12/2015,866.6166885,51.65040352,699.1165473,742.6282105,67.94065454
21/12/2015,762.6226859,45.4523551,646.927895,654.7528252,67.57949558
28/12/2015,671.2712969,40.03807249,576.1898809,576.1824862,68.16454343
04/01/2016,590.7187413,35.23350379,507.1560952,507.0405878,68.38209015
